ont_id,cola_tamano_total_bytes
0,17703868.0
1,19419826.0
2,16138298.0
3,20471952.0
4,15973684.0
5,15910726.0
6,20861016.0
7,14354130.0
8,21955200.0
9,17175290.0
10,22616002.0
11,17107224.0
12,20210832.0
13,18317684.0
14,17091724.0
15,20429140.0
media,18483537.25
