ont_id Tamano_cola_Mbps
0 2865.801930239747
1 2865.806250239747
2 2865.806250239747
3 2865.779786239747
4 2865.782298239747
5 2865.786970239747
6 2865.789130239747
7 2865.9727244797473
8 2865.974244479747
9 2865.974244479747
10 2865.976756479747
11 2865.4258022397476
12 2865.4306822397475
13 2865.4306822397475
14 2865.768266239747
15 2865.768266239747
Media 2865.767142799747
Total 45852.27428479595
