ont_id,cola_tamano_total_bytes
0,167210.0
1,135034.0
2,325768.0
3,282934.0
4,272948.0
5,370530.0
6,619312.0
7,648024.0
8,670814.0
9,611822.0
10,598450.0
11,596102.0
12,543696.0
13,597470.0
14,592100.0
15,633522.0
media,479108.5
