ont_id,cola_tamano_total_bytes
0,1412052.0
1,73228.0
2,18338.0
3,36270.0
4,3391518.0
5,25100.0
6,2345834.0
7,1054642.0
8,4409368.0
9,5803712.0
10,251492.0
11,2482368.0
12,3503288.0
13,1491166.0
14,33226.0
15,14676.0
media,1646642.375
