ont_id,cola_tamano_total_bytes
0,850.0
1,4340.0
2,1378.0
3,2006.0
4,4632.0
5,1790.0
6,446.0
7,5736.0
8,6302.0
9,3206.0
10,4394.0
11,1724.0
12,2636.0
13,5462.0
14,2328.0
15,5050.0
media,3267.5
