ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,1.0588548989043345,1.0588503276194305,1.0588594701892384
1,0,1.0431708387939536,1.0431659803061513,1.0431756972817559
2,0,1.0544959044913829,1.054490656803885,1.0545011521788807
3,0,1.0672623459198707,1.0672577380349315,1.0672669538048098
4,0,1.0465545342604616,1.0465497717727559,1.0465592967481674
5,0,1.0594684219136619,1.059463561696755,1.0594732821305688
6,0,0.9841890513578132,0.9841841935806304,0.984193909134996
7,0,1.0824299799472157,1.082424876016776,1.0824350838776553
8,0,1.08567585562781,1.085671358100052,1.085680353155568
9,0,1.0602454942488204,1.0602408154525853,1.0602501730450555
10,0,1.0354534635729862,1.0354485247150604,1.035458402430912
11,0,1.061419396254611,1.0614147338738935,1.0614240586353285
12,0,1.0621074701175444,1.0621029405094127,1.062111999725676
13,0,1.0957230850689497,1.0957185627965105,1.0957276073413889
14,0,1.0603697070793727,1.0603649004417648,1.0603745137169807
15,0,1.0667256807311358,1.0667207719650602,1.0667305894972114
