ont_id Tamano_cola_Mbps
0 656.2550146666666
1 656.2551586666666
2 656.2561410666667
3 656.2561314666667
4 656.2564434666667
5 656.2565272
6 656.2566232
7 656.2565485333333
8 656.2567645333334
9 656.2576818666666
10 656.2578258666666
11 656.2579405333333
12 656.2578445333334
13 656.2580605333333
14 656.2582162666666
15 656.2614009333333
16 656.2614846666667
17 656.2615353333334
18 656.262362
19 656.262458
20 656.262602
21 656.2625369333333
22 656.2689224
23 656.2689944
24 656.2699437333333
25 656.2701112000001
26 656.2698408
27 656.2699848
28 656.2702317333334
29 656.2703757333334
30 656.2704381333333
31 656.2715042666666
32 656.2738356
33 656.2739796000001
34 656.2740105333334
35 656.2740825333333
36 656.2750052
37 656.2749956
38 656.2750025333333
39 656.2751465333333
40 656.2751972000001
41 656.2752692
42 656.2827304
43 656.2828530666667
44 656.2830706666666
45 656.2841133333334
46 656.2840989333333
47 656.2843266666666
48 656.2863129333333
49 656.2863636000001
50 656.286354
51 656.2863444
52 656.2434930666667
53 656.2436370666667
54 656.2437810666668
55 656.2438887999999
56 656.2440674666667
57 656.2438285333333
58 656.2447410666667
59 656.2444850666667
60 656.2524092000001
61 656.2526390666667
62 656.2536817333333
63 656.2547789333332
Media 656.2647839541667
Total 42000.946173066666
