ONT_Id,B_Max_bits,B_alloc_bits
5,1199488.0,25536
6,1199488.0,50000
7,1199488.0,26304
8,1199488.0,35552
9,1199488.0,41184
10,1199488.0,20848
11,1199488.0,61488
12,1199488.0,18384
13,1199488.0,34304
14,1199488.0,67216
15,1199488.0,22064
0,1199488.0,48304
1,1199488.0,13424
2,1199488.0,50400
3,1199488.0,46704
4,1199488.0,62256
5,1199488.0,79760
6,1199488.0,54960
7,1199488.0,51440
8,1199488.0,62480
9,1199488.0,48304
10,1199488.0,48144
11,1199488.0,82256
12,1199488.0,50784
13,1199488.0,53344
14,1199488.0,84384
15,1199488.0,20624
0,1199488.0,41472
1,1199488.0,25632
2,1199488.0,49696
3,1199488.0,32704
4,1199488.0,50048
5,1199488.0,26976
6,1199488.0,56032
7,1199488.0,31984
8,1199488.0,25584
9,1199488.0,46864
10,1199488.0,21568
11,1199488.0,42752
12,1199488.0,21056
13,1199488.0,36464
14,1199488.0,54656
15,1199488.0,22784
0,1199488.0,50800
1,1199488.0,13776
2,1199488.0,62256
3,1199488.0,46704
4,1199488.0,50048
5,1199488.0,83648
6,1199488.0,50720
7,1199488.0,57120
8,1199488.0,89728
9,1199488.0,41904
10,1199488.0,54176
11,1199488.0,84048
12,1199488.0,46176
13,1199488.0,67712
14,1199488.0,79424
15,1199488.0,9136
0,1199488.0,38240
1,1199488.0,13424
2,1199488.0,42448
3,1199488.0,33056
4,1199488.0,62256
5,1199488.0,52832
6,1199488.0,68608
7,1199488.0,27744
8,1199488.0,24864
9,1199488.0,46864
10,1199488.0,22288
11,1199488.0,43472
12,1199488.0,11136
13,1199488.0,51184
14,1199488.0,59968
15,1199488.0,27808
0,1199488.0,40032
1,1199488.0,25632
2,1199488.0,67216
3,1199488.0,47424
4,1199488.0,50048
5,1199488.0,43200
6,1199488.0,49280
7,1199488.0,58192
8,1199488.0,85840
9,1199488.0,51824
10,1199488.0,49216
11,1199488.0,96256
12,1199488.0,55744
13,1199488.0,46512
14,1199488.0,72176
15,1199488.0,9856
0,1199488.0,27472
1,1199488.0,13776
2,1199488.0,47760
3,1199488.0,45984
4,1199488.0,50048
5,1199488.0,53552
6,1199488.0,69328
7,1199488.0,33424
8,1199488.0,18336
9,1199488.0,58352
10,1199488.0,40176
11,1199488.0,25584
12,1199488.0,21056
13,1199488.0,52992
14,1199488.0,79424
15,1199488.0,33488
0,1199488.0,41472
1,1199488.0,13424
2,1199488.0,59968
3,1199488.0,37440
4,1199488.0,62608
5,1199488.0,44992
6,1199488.0,42752
7,1199488.0,58912
8,1199488.0,84048
9,1199488.0,59792
10,1199488.0,30544
11,1199488.0,109904
12,1199488.0,45824
13,1199488.0,46880
14,1199488.0,59968
15,1199488.0,20848
0,1199488.0,29264
1,1199488.0,25632
2,1199488.0,42800
3,1199488.0,42032
4,1199488.0,37488
5,1199488.0,67200
6,1199488.0,82256
7,1199488.0,51664
8,1199488.0,14096
9,1199488.0,56912
10,1199488.0,60352
11,1199488.0,30544
12,1199488.0,33264
13,1199488.0,53712
14,1199488.0,84384
15,1199488.0,41616
0,1199488.0,42912
1,1199488.0,13424
2,1199488.0,55360
3,1199488.0,38512
4,1199488.0,62608
5,1199488.0,48512
6,1199488.0,50720
7,1199488.0,42752
8,1199488.0,85488
9,1199488.0,58352
10,1199488.0,24512
11,1199488.0,97392
12,1199488.0,45824
13,1199488.0,49392
14,1199488.0,42800
15,1199488.0,21568
0,1199488.0,30704
1,1199488.0,29232
2,1199488.0,35552
3,1199488.0,26304
4,1199488.0,50048
5,1199488.0,66832
6,1199488.0,73696
7,1199488.0,46704
8,1199488.0,19776
9,1199488.0,35504
10,1199488.0,65312
11,1199488.0,38512
12,1199488.0,33264
13,1199488.0,55872
14,1199488.0,79776
15,1199488.0,36288
0,1199488.0,44704
1,1199488.0,23856
2,1199488.0,59968
3,1199488.0,43472
4,1199488.0,61904
5,1199488.0,32784
6,1199488.0,56400
7,1199488.0,32832
8,1199488.0,85120
9,1199488.0,66544
10,1199488.0,14096
11,1199488.0,78656
12,1199488.0,45472
13,1199488.0,63760
14,1199488.0,47760
15,1199488.0,34144
0,1199488.0,32144
1,1199488.0,23504
2,1199488.0,30944
3,1199488.0,31264
4,1199488.0,74464
5,1199488.0,71568
6,1199488.0,75136
7,1199488.0,49712
8,1199488.0,32704
9,1199488.0,51104
10,1199488.0,60352
11,1199488.0,43472
12,1199488.0,33616
13,1199488.0,33584
14,1199488.0,67216
15,1199488.0,44192
0,1199488.0,46144
1,1199488.0,26016
2,1199488.0,72176
3,1199488.0,44192
4,1199488.0,61904
5,1199488.0,39184
6,1199488.0,61488
7,1199488.0,44320
8,1199488.0,66448
9,1199488.0,59072
10,1199488.0,19056
11,1199488.0,77296
12,1199488.0,23344
13,1199488.0,66640
14,1199488.0,43152
15,1199488.0,31264
0,1199488.0,33936
1,1199488.0,25296
2,1199488.0,30592
3,1199488.0,39232
4,1199488.0,62256
5,1199488.0,77248
6,1199488.0,78304
7,1199488.0,56176
8,1199488.0,57472
9,1199488.0,47216
10,1199488.0,59632
11,1199488.0,47872
12,1199488.0,33616
13,1199488.0,35744
14,1199488.0,72176
15,1199488.0,44912
0,1199488.0,47232
1,1199488.0,26016
2,1199488.0,72176
3,1199488.0,42032
4,1199488.0,62256
5,1199488.0,34944
6,1199488.0,61488
7,1199488.0,32112
8,1199488.0,50000
9,1199488.0,63312
10,1199488.0,19776
