ONT_Id,B_Max_bits,B_alloc_bits
1,119488.0,13184
2,119488.0,3360
3,119488.0,7232
4,119488.0,2272
5,119488.0,2976
6,119488.0,2288
7,119488.0,8320
8,119488.0,2624
9,119488.0,3328
10,119488.0,1920
11,119488.0,15888
12,119488.0,12592
13,119488.0,13424
14,119488.0,6576
15,119488.0,3712
0,119488.0,11104
1,119488.0,25392
2,119488.0,4432
3,119488.0,7584
4,119488.0,2624
5,119488.0,3328
6,119488.0,7968
7,119488.0,4432
8,119488.0,2624
9,119488.0,3680
10,119488.0,2272
11,119488.0,1568
12,119488.0,13664
13,119488.0,1920
14,119488.0,19488
15,119488.0,4784
0,119488.0,11104
1,119488.0,1920
2,119488.0,10464
3,119488.0,3328
4,119488.0,2976
5,119488.0,15888
6,119488.0,8672
7,119488.0,4784
8,119488.0,15184
9,119488.0,3680
10,119488.0,2272
11,119488.0,1568
12,119488.0,13664
13,119488.0,2272
14,119488.0,7968
15,119488.0,5856
0,119488.0,11456
1,119488.0,1920
2,119488.0,22304
3,119488.0,3328
4,119488.0,7936
5,119488.0,1568
6,119488.0,9744
7,119488.0,9728
8,119488.0,13424
9,119488.0,4032
10,119488.0,14832
11,119488.0,1920
12,119488.0,13664
13,119488.0,2272
14,119488.0,20176
15,119488.0,30976
0,119488.0,11808
1,119488.0,2272
2,119488.0,14144
3,119488.0,3680
4,119488.0,8288
5,119488.0,1568
6,119488.0,10464
7,119488.0,9728
8,119488.0,1920
9,119488.0,4384
10,119488.0,13424
11,119488.0,14480
12,119488.0,13664
13,119488.0,2624
14,119488.0,14144
15,119488.0,20176
0,119488.0,12160
1,119488.0,2624
2,119488.0,3360
3,119488.0,8992
4,119488.0,8640
5,119488.0,1920
6,119488.0,11168
7,119488.0,10080
8,119488.0,14480
9,119488.0,4736
10,119488.0,1920
11,119488.0,1568
12,119488.0,13664
13,119488.0,2976
14,119488.0,15568
15,119488.0,7968
0,119488.0,17472
1,119488.0,2976
2,119488.0,4064
3,119488.0,21552
4,119488.0,8992
5,119488.0,2272
6,119488.0,17200
7,119488.0,15024
8,119488.0,1568
9,119488.0,4736
10,119488.0,2272
11,119488.0,1920
12,119488.0,9776
13,119488.0,3328
14,119488.0,14496
15,119488.0,9040
0,119488.0,10752
1,119488.0,2976
2,119488.0,4784
3,119488.0,1568
4,119488.0,9344
5,119488.0,2624
6,119488.0,13664
7,119488.0,8640
8,119488.0,1920
9,119488.0,5088
10,119488.0,2272
11,119488.0,14128
12,119488.0,14736
13,119488.0,3680
14,119488.0,2288
15,119488.0,9744
0,119488.0,11104
1,119488.0,3328
2,119488.0,5856
3,119488.0,1568
4,119488.0,9344
5,119488.0,2624
6,119488.0,18624
7,119488.0,8992
8,119488.0,2272
9,119488.0,5440
10,119488.0,2624
11,119488.0,1568
12,119488.0,14016
13,119488.0,3680
14,119488.0,3008
15,119488.0,5856
0,119488.0,11456
1,119488.0,3680
2,119488.0,11520
3,119488.0,1920
4,119488.0,9696
5,119488.0,2976
6,119488.0,10464
7,119488.0,8992
8,119488.0,2272
9,119488.0,5440
10,119488.0,2976
11,119488.0,14848
12,119488.0,13296
13,119488.0,4032
14,119488.0,8672
15,119488.0,6928
0,119488.0,11456
1,119488.0,3680
2,119488.0,12240
3,119488.0,1920
4,119488.0,10048
5,119488.0,3328
6,119488.0,11168
7,119488.0,14304
8,119488.0,2624
9,119488.0,5792
10,119488.0,2976
11,119488.0,1936
12,119488.0,12576
13,119488.0,4384
14,119488.0,9744
15,119488.0,7632
0,119488.0,11808
1,119488.0,4032
2,119488.0,25520
3,119488.0,14480
4,119488.0,34816
5,119488.0,3328
6,119488.0,11888
7,119488.0,8992
8,119488.0,2976
9,119488.0,18352
10,119488.0,3328
11,119488.0,3008
12,119488.0,25136
13,119488.0,4384
14,119488.0,10464
15,119488.0,7632
0,119488.0,12160
1,119488.0,4384
2,119488.0,14144
3,119488.0,13776
4,119488.0,1568
5,119488.0,28096
6,119488.0,13312
7,119488.0,9344
8,119488.0,3328
9,119488.0,13424
10,119488.0,3680
11,119488.0,3712
12,119488.0,1568
13,119488.0,4736
14,119488.0,23376
15,119488.0,26944
0,119488.0,12512
1,119488.0,4736
2,119488.0,3360
3,119488.0,18736
4,119488.0,14128
5,119488.0,13776
6,119488.0,18976
7,119488.0,14656
8,119488.0,15888
9,119488.0,1920
10,119488.0,4032
11,119488.0,4784
12,119488.0,1920
13,119488.0,5088
14,119488.0,14144
15,119488.0,3360
0,119488.0,12864
1,119488.0,5088
2,119488.0,4432
3,119488.0,13424
4,119488.0,25632
5,119488.0,13424
6,119488.0,14016
7,119488.0,20848
8,119488.0,1920
9,119488.0,2272
10,119488.0,4384
11,119488.0,5856
12,119488.0,7232
13,119488.0,5440
14,119488.0,3360
15,119488.0,4432
0,119488.0,25424
1,119488.0,5440
2,119488.0,17344
3,119488.0,1920
4,119488.0,13424
5,119488.0,1920
6,119488.0,18624
7,119488.0,1568
8,119488.0,2272
9,119488.0,2624
10,119488.0,16944
11,119488.0,6560
12,119488.0,7584
13,119488.0,5792
14,119488.0,4432
15,119488.0,16992
0,119488.0,1920
1,119488.0,5792
2,119488.0,15568
3,119488.0,2272
4,119488.0,1920
5,119488.0,2272
6,119488.0,10464
7,119488.0,13776
8,119488.0,2272
9,119488.0,2624
10,119488.0,1920
11,119488.0,7632
12,119488.0,7936
13,119488.0,6144
14,119488.0,10096
15,119488.0,3008
0,119488.0,1920
1,119488.0,5792
2,119488.0,3360
3,119488.0,2624
4,119488.0,2272
5,119488.0,2624
6,119488.0,11168
7,119488.0,6528
8,119488.0,2624
9,119488.0,2976
10,119488.0,1920
11,119488.0,20560
12,119488.0,7936
13,119488.0,18704
14,119488.0,23376
15,119488.0,4080
0,119488.0,2272
1,119488.0,18352
2,119488.0,4080
3,119488.0,2624
4,119488.0,7232
5,119488.0,2624
6,119488.0,11888
7,119488.0,6880
8,119488.0,2976
9,119488.0,3328
10,119488.0,2272
11,119488.0,14144
12,119488.0,8288
13,119488.0,1568
14,119488.0,14496
15,119488.0,4784
0,119488.0,2624
1,119488.0,1568
2,119488.0,16992
3,119488.0,2976
4,119488.0,7584
5,119488.0,2976
6,119488.0,12960
7,119488.0,2272
8,119488.0,3328
9,119488.0,3680
10,119488.0,2624
11,119488.0,3360
12,119488.0,4032
