ONT_Id,B_Max_bits,B_alloc_bits
0,1199488.0,45040
1,1199488.0,53072
2,1199488.0,25280
3,1199488.0,51056
4,1199488.0,60320
5,1199488.0,48144
6,1199488.0,107744
7,1199488.0,83488
8,1199488.0,62080
9,1199488.0,79072
10,1199488.0,20624
11,1199488.0,27472
12,1199488.0,50224
13,1199488.0,30944
14,1199488.0,63600
15,1199488.0,59760
0,1199488.0,36064
1,1199488.0,18384
2,1199488.0,62256
3,1199488.0,83008
4,1199488.0,35552
5,1199488.0,26016
6,1199488.0,62208
7,1199488.0,77088
8,1199488.0,55904
9,1199488.0,35552
10,1199488.0,32832
11,1199488.0,33936
12,1199488.0,67760
13,1199488.0,35552
14,1199488.0,65040
15,1199488.0,48640
0,1199488.0,45760
1,1199488.0,53424
2,1199488.0,25632
3,1199488.0,62192
4,1199488.0,72528
5,1199488.0,53456
6,1199488.0,90512
7,1199488.0,71056
8,1199488.0,80688
9,1199488.0,79072
10,1199488.0,21344
11,1199488.0,29264
12,1199488.0,46992
13,1199488.0,30592
14,1199488.0,60080
15,1199488.0,44320
0,1199488.0,47920
1,1199488.0,11136
2,1199488.0,50048
3,1199488.0,78336
4,1199488.0,42800
5,1199488.0,40896
6,1199488.0,85904
7,1199488.0,93536
8,1199488.0,60640
9,1199488.0,30592
10,1199488.0,34272
11,1199488.0,35376
12,1199488.0,61360
13,1199488.0,35904
14,1199488.0,66832
15,1199488.0,49712
0,1199488.0,56528
1,1199488.0,62992
2,1199488.0,37840
3,1199488.0,49264
4,1199488.0,84032
5,1199488.0,43184
6,1199488.0,73696
7,1199488.0,59200
8,1199488.0,81040
9,1199488.0,84384
10,1199488.0,22064
11,1199488.0,30704
12,1199488.0,35504
13,1199488.0,23344
14,1199488.0,66480
15,1199488.0,44688
0,1199488.0,61200
1,1199488.0,28656
2,1199488.0,50048
3,1199488.0,73680
4,1199488.0,42800
5,1199488.0,40896
6,1199488.0,78304
7,1199488.0,77088
8,1199488.0,58848
9,1199488.0,35904
10,1199488.0,35344
11,1199488.0,36816
12,1199488.0,68832
13,1199488.0,35904
14,1199488.0,67200
15,1199488.0,45040
0,1199488.0,45040
1,1199488.0,57680
2,1199488.0,37840
3,1199488.0,70880
4,1199488.0,67216
5,1199488.0,48496
6,1199488.0,67168
7,1199488.0,69840
8,1199488.0,90736
9,1199488.0,55008
10,1199488.0,22784
11,1199488.0,32144
12,1199488.0,41184
13,1199488.0,18384
14,1199488.0,68272
15,1199488.0,32112
0,1199488.0,74128
1,1199488.0,40512
2,1199488.0,50048
3,1199488.0,55712
4,1199488.0,35552
5,1199488.0,35936
6,1199488.0,86624
7,1199488.0,71408
8,1199488.0,52672
9,1199488.0,30944
10,1199488.0,36064
11,1199488.0,50464
12,1199488.0,62080
13,1199488.0,40864
14,1199488.0,91616
15,1199488.0,57248
0,1199488.0,43968
1,1199488.0,52720
2,1199488.0,50400
3,1199488.0,74400
4,1199488.0,59968
5,1199488.0,48496
6,1199488.0,50000
7,1199488.0,53392
8,1199488.0,83984
9,1199488.0,59968
10,1199488.0,23856
11,1199488.0,26384
12,1199488.0,54464
13,1199488.0,35552
14,1199488.0,56480
15,1199488.0,32112
0,1199488.0,87056
1,1199488.0,47760
2,1199488.0,37488
3,1199488.0,52560
4,1199488.0,35552
5,1199488.0,36288
6,1199488.0,80096
7,1199488.0,75520
8,1199488.0,47712
9,1199488.0,64928
10,1199488.0,36784
11,1199488.0,49744
12,1199488.0,58848
13,1199488.0,42448
14,1199488.0,73648
15,1199488.0,57968
0,1199488.0,32112
1,1199488.0,55008
2,1199488.0,50400
3,1199488.0,90560
4,1199488.0,67216
5,1199488.0,53456
6,1199488.0,50368
7,1199488.0,58704
8,1199488.0,84336
9,1199488.0,47760
10,1199488.0,48992
11,1199488.0,15616
12,1199488.0,30544
13,1199488.0,42800
14,1199488.0,75088
15,1199488.0,32832
0,1199488.0,80592
1,1199488.0,47408
2,1199488.0,50048
3,1199488.0,50032
4,1199488.0,48112
5,1199488.0,30976
6,1199488.0,88064
7,1199488.0,75520
8,1199488.0,54112
9,1199488.0,82096
10,1199488.0,32112
11,1199488.0,50096
12,1199488.0,59920
13,1199488.0,35552
14,1199488.0,68688
15,1199488.0,56528
0,1199488.0,20624
1,1199488.0,47760
2,1199488.0,61904
3,1199488.0,98096
4,1199488.0,54656
5,1199488.0,53104
6,1199488.0,42752
7,1199488.0,55184
8,1199488.0,85056
9,1199488.0,40512
10,1199488.0,49712
11,1199488.0,17056
12,1199488.0,65600
13,1199488.0,43152
14,1199488.0,92384
15,1199488.0,33904
0,1199488.0,69456
1,1199488.0,42800
2,1199488.0,37840
3,1199488.0,42784
4,1199488.0,47760
5,1199488.0,40896
6,1199488.0,105952
7,1199488.0,77312
8,1199488.0,50224
9,1199488.0,82448
10,1199488.0,20624
11,1199488.0,50464
12,1199488.0,54960
13,1199488.0,25632
14,1199488.0,72576
15,1199488.0,45040
0,1199488.0,21344
1,1199488.0,47760
2,1199488.0,62256
3,1199488.0,98448
4,1199488.0,59968
5,1199488.0,43184
6,1199488.0,38512
7,1199488.0,63312
8,1199488.0,90736
9,1199488.0,28304
10,1199488.0,62640
11,1199488.0,19568
12,1199488.0,59200
13,1199488.0,37840
14,1199488.0,81616
15,1199488.0,34992
0,1199488.0,70176
1,1199488.0,47760
2,1199488.0,13424
3,1199488.0,39984
4,1199488.0,59968
5,1199488.0,53104
6,1199488.0,107024
7,1199488.0,79600
8,1199488.0,49872
9,1199488.0,87408
