ONT_Id,B_Max_bits,B_alloc_bits
14,1199488.0,118240
15,1199488.0,85056
0,1199488.0,50720
1,1199488.0,51904
2,1199488.0,83008
3,1199488.0,94304
4,1199488.0,82160
5,1199488.0,66864
6,1199488.0,97856
7,1199488.0,79424
8,1199488.0,92688
9,1199488.0,48432
10,1199488.0,64880
11,1199488.0,72128
12,1199488.0,66400
13,1199488.0,114880
14,1199488.0,72576
15,1199488.0,47360
0,1199488.0,72128
1,1199488.0,36096
2,1199488.0,124720
3,1199488.0,87056
4,1199488.0,94240
5,1199488.0,103840
6,1199488.0,78528
7,1199488.0,35552
8,1199488.0,82768
9,1199488.0,90512
10,1199488.0,90368
11,1199488.0,72848
12,1199488.0,75088
13,1199488.0,89968
14,1199488.0,112432
15,1199488.0,85776
0,1199488.0,52672
1,1199488.0,23152
2,1199488.0,76256
3,1199488.0,59968
4,1199488.0,94368
5,1199488.0,72176
6,1199488.0,66448
7,1199488.0,59968
8,1199488.0,103456
9,1199488.0,66320
10,1199488.0,55680
11,1199488.0,71776
12,1199488.0,68912
13,1199488.0,110144
14,1199488.0,57920
15,1199488.0,36224
0,1199488.0,72848
1,1199488.0,27456
2,1199488.0,118912
3,1199488.0,64928
4,1199488.0,62112
5,1199488.0,72176
6,1199488.0,94336
7,1199488.0,35904
8,1199488.0,93536
9,1199488.0,67168
10,1199488.0,122624
11,1199488.0,103664
12,1199488.0,111584
13,1199488.0,99376
14,1199488.0,108912
15,1199488.0,111632
0,1199488.0,43824
1,1199488.0,21344
2,1199488.0,78768
3,1199488.0,57680
4,1199488.0,122608
5,1199488.0,79424
6,1199488.0,48160
7,1199488.0,55008
8,1199488.0,88224
9,1199488.0,86848
10,1199488.0,43472
11,1199488.0,47712
12,1199488.0,61440
13,1199488.0,136640
14,1199488.0,65040
15,1199488.0,59840
0,1199488.0,79248
1,1199488.0,38944
2,1199488.0,130112
3,1199488.0,70240
4,1199488.0,73600
5,1199488.0,84384
6,1199488.0,88736
7,1199488.0,72528
8,1199488.0,103456
9,1199488.0,64880
10,1199488.0,98480
11,1199488.0,83984
12,1199488.0,114096
13,1199488.0,108704
14,1199488.0,116384
15,1199488.0,89344
0,1199488.0,66320
1,1199488.0,8416
2,1199488.0,107424
3,1199488.0,82096
4,1199488.0,84736
5,1199488.0,67216
6,1199488.0,49104
7,1199488.0,42800
8,1199488.0,97648
9,1199488.0,102944
10,1199488.0,42752
11,1199488.0,54112
12,1199488.0,49104
13,1199488.0,113312
14,1199488.0,79760
15,1199488.0,58032
0,1199488.0,84336
1,1199488.0,39296
2,1199488.0,99584
3,1199488.0,64928
4,1199488.0,87840
5,1199488.0,79424
6,1199488.0,96496
7,1199488.0,89344
8,1199488.0,69120
9,1199488.0,55680
10,1199488.0,85904
11,1199488.0,85776
12,1199488.0,108064
13,1199488.0,126592
14,1199488.0,111712
15,1199488.0,89344
0,1199488.0,65248
1,1199488.0,23136
2,1199488.0,122864
3,1199488.0,96592
4,1199488.0,88688
5,1199488.0,59968
6,1199488.0,41344
7,1199488.0,23344
8,1199488.0,98368
9,1199488.0,122272
10,1199488.0,39232
11,1199488.0,55184
12,1199488.0,76032
13,1199488.0,91536
14,1199488.0,69408
15,1199488.0,77136
0,1199488.0,60640
1,1199488.0,36432
2,1199488.0,82288
3,1199488.0,64576
4,1199488.0,73600
5,1199488.0,67216
6,1199488.0,115536
7,1199488.0,96944
8,1199488.0,90400
9,1199488.0,55680
10,1199488.0,80096
11,1199488.0,91456
12,1199488.0,78256
13,1199488.0,148560
14,1199488.0,123200
15,1199488.0,77136
0,1199488.0,85776
1,1199488.0,23856
2,1199488.0,135440
3,1199488.0,92944
4,1199488.0,80000
5,1199488.0,55008
6,1199488.0,43792
7,1199488.0,35552
8,1199488.0,69840
9,1199488.0,116000
10,1199488.0,69680
11,1199488.0,75008
12,1199488.0,96576
13,1199488.0,91536
14,1199488.0,99152
15,1199488.0,101904
0,1199488.0,65600
1,1199488.0,38224
2,1199488.0,95936
3,1199488.0,67888
4,1199488.0,77200
5,1199488.0,72176
6,1199488.0,116752
7,1199488.0,84384
8,1199488.0,91120
9,1199488.0,64880
10,1199488.0,66448
11,1199488.0,72128
