ONT_Id,B_Max_bits,B_alloc_bits
5,119488.0,2624
6,119488.0,18352
7,119488.0,18352
8,119488.0,3680
9,119488.0,2976
10,119488.0,11104
11,119488.0,13328
12,119488.0,13184
13,119488.0,13184
14,119488.0,2624
15,119488.0,11104
0,119488.0,8992
1,119488.0,17472
2,119488.0,5440
3,119488.0,13184
4,119488.0,13184
5,119488.0,15184
6,119488.0,13424
7,119488.0,1568
8,119488.0,4032
9,119488.0,3328
10,119488.0,11104
11,119488.0,14400
12,119488.0,13184
13,119488.0,13184
14,119488.0,2976
15,119488.0,23664
0,119488.0,14304
1,119488.0,11104
2,119488.0,5792
3,119488.0,13184
4,119488.0,13184
5,119488.0,1568
6,119488.0,1920
7,119488.0,1920
8,119488.0,4384
9,119488.0,3680
10,119488.0,11456
11,119488.0,14048
12,119488.0,13184
13,119488.0,13184
14,119488.0,3328
15,119488.0,1568
0,119488.0,9696
1,119488.0,11456
2,119488.0,18352
3,119488.0,13184
4,119488.0,13184
5,119488.0,1920
6,119488.0,2272
7,119488.0,2272
8,119488.0,4736
9,119488.0,4032
10,119488.0,11808
11,119488.0,13696
12,119488.0,13184
13,119488.0,18144
14,119488.0,3680
15,119488.0,6880
0,119488.0,15008
1,119488.0,11808
2,119488.0,1216
3,119488.0,12832
4,119488.0,13184
5,119488.0,2272
6,119488.0,2624
7,119488.0,2624
8,119488.0,5088
9,119488.0,4384
10,119488.0,12160
11,119488.0,14048
12,119488.0,12832
13,119488.0,12864
14,119488.0,4032
15,119488.0,7232
0,119488.0,13248
1,119488.0,12160
2,119488.0,1568
3,119488.0,13184
4,119488.0,12832
5,119488.0,2272
6,119488.0,2624
7,119488.0,2976
8,119488.0,5440
9,119488.0,4736
10,119488.0,17472
11,119488.0,13328
12,119488.0,13184
13,119488.0,13216
14,119488.0,4032
15,119488.0,7232
0,119488.0,8640
1,119488.0,12512
2,119488.0,1920
3,119488.0,13184
4,119488.0,13184
5,119488.0,2624
6,119488.0,2976
7,119488.0,2976
8,119488.0,5440
9,119488.0,4736
10,119488.0,10400
11,119488.0,13680
12,119488.0,13184
13,119488.0,13216
14,119488.0,4384
15,119488.0,7584
0,119488.0,8640
1,119488.0,12512
2,119488.0,1920
3,119488.0,13184
4,119488.0,13184
5,119488.0,2976
6,119488.0,3328
7,119488.0,3328
8,119488.0,5792
9,119488.0,5088
10,119488.0,10752
11,119488.0,13328
12,119488.0,12832
13,119488.0,13216
14,119488.0,4736
15,119488.0,20144
0,119488.0,8992
1,119488.0,17824
2,119488.0,2272
