ONT_Id,B_Max_bits,B_alloc_bits
12,119488.0,13424
13,119488.0,13216
14,119488.0,16064
15,119488.0,2272
0,119488.0,14048
1,119488.0,8960
2,119488.0,1920
3,119488.0,4032
4,119488.0,13184
5,119488.0,14832
6,119488.0,2272
7,119488.0,12480
8,119488.0,4384
9,119488.0,9312
10,119488.0,13184
11,119488.0,8256
12,119488.0,1920
13,119488.0,13216
14,119488.0,10752
15,119488.0,2624
0,119488.0,26256
1,119488.0,9312
2,119488.0,1920
3,119488.0,4032
4,119488.0,12832
5,119488.0,1568
6,119488.0,2624
7,119488.0,12832
8,119488.0,21904
9,119488.0,9664
10,119488.0,13184
11,119488.0,8608
12,119488.0,1920
13,119488.0,8256
14,119488.0,11104
15,119488.0,2976
0,119488.0,3008
1,119488.0,9664
2,119488.0,2272
3,119488.0,4384
4,119488.0,13184
5,119488.0,1568
6,119488.0,2624
7,119488.0,13184
8,119488.0,6528
9,119488.0,10016
10,119488.0,13184
11,119488.0,8960
12,119488.0,2272
13,119488.0,8608
14,119488.0,11104
15,119488.0,3328
0,119488.0,4080
1,119488.0,10016
2,119488.0,2624
3,119488.0,16944
4,119488.0,13184
5,119488.0,1920
6,119488.0,2976
7,119488.0,12832
8,119488.0,1920
9,119488.0,10368
10,119488.0,13184
11,119488.0,9312
12,119488.0,2624
13,119488.0,8960
14,119488.0,11456
15,119488.0,3328
0,119488.0,4432
1,119488.0,10016
2,119488.0,2624
3,119488.0,13424
4,119488.0,13184
5,119488.0,2272
6,119488.0,3328
7,119488.0,13184
8,119488.0,2272
9,119488.0,10368
10,119488.0,12832
11,119488.0,9312
12,119488.0,2976
13,119488.0,9312
14,119488.0,11808
15,119488.0,3680
0,119488.0,5504
1,119488.0,10368
2,119488.0,2976
3,119488.0,1568
4,119488.0,12832
5,119488.0,2272
6,119488.0,3328
7,119488.0,13184
8,119488.0,2624
9,119488.0,10720
10,119488.0,13184
11,119488.0,9664
12,119488.0,2976
13,119488.0,9312
14,119488.0,11808
15,119488.0,3680
0,119488.0,5488
1,119488.0,10720
2,119488.0,3328
3,119488.0,14128
4,119488.0,13184
5,119488.0,2624
6,119488.0,3680
7,119488.0,12832
8,119488.0,2624
9,119488.0,10720
10,119488.0,13184
11,119488.0,10016
12,119488.0,3328
13,119488.0,14624
14,119488.0,12160
15,119488.0,4032
0,119488.0,6208
1,119488.0,10720
2,119488.0,3328
3,119488.0,13072
4,119488.0,13184
5,119488.0,2976
6,119488.0,4032
7,119488.0,13184
8,119488.0,2976
9,119488.0,11072
10,119488.0,12832
11,119488.0,10016
12,119488.0,3328
13,119488.0,13216
14,119488.0,17472
15,119488.0,4384
0,119488.0,7280
1,119488.0,11072
2,119488.0,3680
3,119488.0,1568
4,119488.0,12832
5,119488.0,2976
6,119488.0,4384
7,119488.0,13184
8,119488.0,15536
9,119488.0,11424
10,119488.0,13184
11,119488.0,10368
12,119488.0,3680
13,119488.0,12864
14,119488.0,11104
15,119488.0,4736
0,119488.0,7984
1,119488.0,11424
2,119488.0,4032
3,119488.0,14128
4,119488.0,13184
5,119488.0,3328
6,119488.0,4384
7,119488.0,12832
8,119488.0,6528
9,119488.0,11776
10,119488.0,13184
11,119488.0,10720
12,119488.0,4032
13,119488.0,13216
14,119488.0,11456
15,119488.0,4736
0,119488.0,8704
1,119488.0,11776
2,119488.0,4384
3,119488.0,1568
4,119488.0,13184
5,119488.0,3680
6,119488.0,4736
7,119488.0,13184
8,119488.0,6528
9,119488.0,11776
10,119488.0,13184
11,119488.0,11072
12,119488.0,4384
13,119488.0,13216
14,119488.0,11808
15,119488.0,5088
0,119488.0,9776
1,119488.0,11776
2,119488.0,4736
3,119488.0,1920
4,119488.0,13184
5,119488.0,4032
6,119488.0,5088
7,119488.0,13184
8,119488.0,2272
9,119488.0,12128
10,119488.0,12832
11,119488.0,11072
12,119488.0,4736
13,119488.0,13216
14,119488.0,12160
15,119488.0,5440
0,119488.0,10480
1,119488.0,12128
2,119488.0,4736
3,119488.0,1920
4,119488.0,12832
5,119488.0,4384
6,119488.0,5440
7,119488.0,13184
8,119488.0,2624
9,119488.0,12480
10,119488.0,13184
11,119488.0,11424
12,119488.0,4736
13,119488.0,12864
14,119488.0,12512
15,119488.0,5792
0,119488.0,11552
1,119488.0,12480
2,119488.0,5088
3,119488.0,2272
4,119488.0,13184
5,119488.0,16592
6,119488.0,5440
7,119488.0,12832
8,119488.0,2976
9,119488.0,12832
10,119488.0,13184
11,119488.0,11776
12,119488.0,5088
13,119488.0,13216
14,119488.0,12512
15,119488.0,5792
0,119488.0,12624
1,119488.0,12832
2,119488.0,5440
3,119488.0,2624
4,119488.0,13184
5,119488.0,13424
6,119488.0,5792
7,119488.0,13184
8,119488.0,2976
9,119488.0,13184
10,119488.0,13184
11,119488.0,12128
12,119488.0,5440
13,119488.0,18176
14,119488.0,17824
15,119488.0,18352
0,119488.0,12976
1,119488.0,13184
2,119488.0,5792
3,119488.0,2976
4,119488.0,13184
5,119488.0,1920
6,119488.0,6144
7,119488.0,13184
8,119488.0,3328
9,119488.0,12832
10,119488.0,13184
11,119488.0,12480
12,119488.0,5792
13,119488.0,11104
14,119488.0,11104
15,119488.0,1920
0,119488.0,26608
1,119488.0,13184
2,119488.0,18352
3,119488.0,3328
4,119488.0,13184
5,119488.0,2272
6,119488.0,6496
7,119488.0,13184
8,119488.0,8640
9,119488.0,13184
10,119488.0,13184
11,119488.0,12832
12,119488.0,6144
13,119488.0,11456
14,119488.0,11456
15,119488.0,2272
0,119488.0,1936
1,119488.0,13184
2,119488.0,1920
3,119488.0,3680
4,119488.0,13184
5,119488.0,14832
6,119488.0,6848
7,119488.0,13184
8,119488.0,8992
9,119488.0,13184
10,119488.0,13184
11,119488.0,13184
12,119488.0,6496
13,119488.0,11808
14,119488.0,11808
15,119488.0,2624
0,119488.0,3008
1,119488.0,12832
2,119488.0,2272
3,119488.0,4032
4,119488.0,13184
5,119488.0,1568
6,119488.0,7200
7,119488.0,13184
8,119488.0,9344
9,119488.0,13184
10,119488.0,12832
11,119488.0,25392
12,119488.0,6848
13,119488.0,12160
14,119488.0,12160
15,119488.0,2976
0,119488.0,3712
1,119488.0,13184
2,119488.0,2272
3,119488.0,4032
4,119488.0,12832
5,119488.0,1920
6,119488.0,7552
7,119488.0,13184
8,119488.0,21904
9,119488.0,13184
10,119488.0,13184
11,119488.0,1568
12,119488.0,7200
13,119488.0,12512
14,119488.0,12512
15,119488.0,3328
0,119488.0,4784
1,119488.0,13184
2,119488.0,2624
3,119488.0,4384
4,119488.0,13184
5,119488.0,2272
6,119488.0,7904
7,119488.0,13184
8,119488.0,1920
9,119488.0,13184
10,119488.0,13184
11,119488.0,1568
12,119488.0,7200
13,119488.0,17472
14,119488.0,17824
15,119488.0,3680
0,119488.0,5856
1,119488.0,13184
2,119488.0,2976
3,119488.0,16944
4,119488.0,13184
5,119488.0,2272
6,119488.0,7904
7,119488.0,12832
8,119488.0,2272
9,119488.0,13184
10,119488.0,13184
11,119488.0,1920
12,119488.0,7552
13,119488.0,10752
14,119488.0,10400
15,119488.0,3680
0,119488.0,6560
1,119488.0,13184
2,119488.0,3328
3,119488.0,1568
4,119488.0,13184
5,119488.0,2624
6,119488.0,8256
7,119488.0,13184
8,119488.0,7232
9,119488.0,13184
10,119488.0,13184
11,119488.0,2272
12,119488.0,7904
13,119488.0,11104
14,119488.0,10752
15,119488.0,4032
0,119488.0,7280
1,119488.0,12832
2,119488.0,3680
3,119488.0,1920
4,119488.0,13184
5,119488.0,2976
6,119488.0,8608
7,119488.0,13184
8,119488.0,7584
9,119488.0,12832
10,119488.0,12832
11,119488.0,2272
12,119488.0,8256
13,119488.0,11456
14,119488.0,11104
15,119488.0,4384
0,119488.0,8352
1,119488.0,13184
2,119488.0,3680
3,119488.0,1920
4,119488.0,12832
5,119488.0,2976
6,119488.0,8960
7,119488.0,13184
8,119488.0,7936
9,119488.0,13184
10,119488.0,13184
11,119488.0,2624
12,119488.0,8256
13,119488.0,11456
14,119488.0,11104
15,119488.0,4736
0,119488.0,9056
1,119488.0,13184
2,119488.0,4032
3,119488.0,2272
4,119488.0,13184
5,119488.0,3328
6,119488.0,8960
7,119488.0,12832
8,119488.0,20496
9,119488.0,13184
10,119488.0,13184
11,119488.0,2976
12,119488.0,8608
13,119488.0,11808
14,119488.0,11456
15,119488.0,4736
0,119488.0,9776
1,119488.0,13184
2,119488.0,4384
3,119488.0,14832
4,119488.0,13184
5,119488.0,3680
6,119488.0,9312
7,119488.0,13904
8,119488.0,1216
9,119488.0,13184
10,119488.0,13184
11,119488.0,3328
12,119488.0,8960
13,119488.0,12160
14,119488.0,11808
15,119488.0,5088
0,119488.0,10848
1,119488.0,12832
2,119488.0,4736
3,119488.0,1568
4,119488.0,13184
5,119488.0,4032
6,119488.0,9664
7,119488.0,13920
8,119488.0,1568
9,119488.0,12832
10,119488.0,12832
11,119488.0,3680
12,119488.0,9312
13,119488.0,12512
14,119488.0,12160
15,119488.0,5440
0,119488.0,11552
1,119488.0,13184
2,119488.0,4736
3,119488.0,1920
4,119488.0,13184
5,119488.0,4384
6,119488.0,10016
7,119488.0,13936
8,119488.0,1920
9,119488.0,13184
10,119488.0,13184
11,119488.0,3680
12,119488.0,9312
13,119488.0,17824
14,119488.0,17472
15,119488.0,5792
0,119488.0,12624
1,119488.0,13184
2,119488.0,5088
3,119488.0,1920
4,119488.0,12832
5,119488.0,4384
6,119488.0,10368
7,119488.0,13952
8,119488.0,2272
9,119488.0,13184
10,119488.0,13184
11,119488.0,4032
12,119488.0,9664
13,119488.0,11104
14,119488.0,11104
15,119488.0,6144
0,119488.0,13696
1,119488.0,13184
2,119488.0,5440
3,119488.0,2272
4,119488.0,13184
5,119488.0,16944
6,119488.0,10368
7,119488.0,13968
8,119488.0,7584
9,119488.0,13184
10,119488.0,13184
11,119488.0,4384
12,119488.0,10016
13,119488.0,11456
14,119488.0,11104
15,119488.0,6496
0,119488.0,14048
1,119488.0,13184
2,119488.0,5792
3,119488.0,2624
4,119488.0,13184
5,119488.0,13424
6,119488.0,10720
7,119488.0,13632
8,119488.0,7936
9,119488.0,13184
10,119488.0,13184
11,119488.0,4736
12,119488.0,10368
13,119488.0,11808
14,119488.0,11456
15,119488.0,30912
0,119488.0,14048
1,119488.0,13184
2,119488.0,6864
3,119488.0,2976
4,119488.0,13184
5,119488.0,1920
6,119488.0,11072
7,119488.0,14000
8,119488.0,8288
9,119488.0,13184
10,119488.0,13184
11,119488.0,5088
12,119488.0,10720
13,119488.0,12160
14,119488.0,11808
15,119488.0,13776
0,119488.0,14048
1,119488.0,13184
2,119488.0,20144
3,119488.0,3328
4,119488.0,13184
5,119488.0,2272
6,119488.0,11424
7,119488.0,14368
8,119488.0,8640
9,119488.0,13184
