ONT_Id,B_Max_bits,B_alloc_bits
1,1199488.0,19552
2,1199488.0,35552
3,1199488.0,35552
4,1199488.0,23168
5,1199488.0,29264
6,1199488.0,25632
7,1199488.0,13424
8,1199488.0,13776
9,1199488.0,47424
10,1199488.0,25984
11,1199488.0,91632
12,1199488.0,57968
13,1199488.0,60672
14,1199488.0,48112
15,1199488.0,38192
0,1199488.0,35712
1,1199488.0,19200
2,1199488.0,47760
3,1199488.0,54656
4,1199488.0,36816
5,1199488.0,49744
6,1199488.0,26336
7,1199488.0,26336
8,1199488.0,25984
9,1199488.0,31264
10,1199488.0,37840
11,1199488.0,54656
12,1199488.0,32832
13,1199488.0,11488
14,1199488.0,40864
15,1199488.0,13424
0,1199488.0,23856
1,1199488.0,19552
2,1199488.0,30592
3,1199488.0,55008
4,1199488.0,24608
5,1199488.0,8416
6,1199488.0,1216
7,1199488.0,13424
8,1199488.0,25984
9,1199488.0,60352
10,1199488.0,25632
11,1199488.0,84384
12,1199488.0,70896
13,1199488.0,65280
14,1199488.0,54656
15,1199488.0,38192
0,1199488.0,36432
1,1199488.0,19552
2,1199488.0,48112
3,1199488.0,47760
4,1199488.0,37536
5,1199488.0,38944
6,1199488.0,25984
7,1199488.0,25632
8,1199488.0,25632
9,1199488.0,24864
10,1199488.0,25632
11,1199488.0,55008
12,1199488.0,32832
13,1199488.0,11136
14,1199488.0,55008
15,1199488.0,13424
0,1199488.0,24576
1,1199488.0,19200
2,1199488.0,23344
3,1199488.0,47760
4,1199488.0,26048
5,1199488.0,9136
6,1199488.0,13424
7,1199488.0,13776
8,1199488.0,26336
9,1199488.0,66384
10,1199488.0,37840
11,1199488.0,67216
12,1199488.0,56896
13,1199488.0,60672
14,1199488.0,30592
15,1199488.0,38544
0,1199488.0,37504
1,1199488.0,19552
2,1199488.0,48112
3,1199488.0,42800
4,1199488.0,37536
5,1199488.0,38944
6,1199488.0,25984
7,1199488.0,13424
8,1199488.0,13072
9,1199488.0,18336
10,1199488.0,25280
11,1199488.0,72176
12,1199488.0,33552
13,1199488.0,11136
14,1199488.0,47760
15,1199488.0,1216
0,1199488.0,24224
1,1199488.0,19200
2,1199488.0,23696
3,1199488.0,60320
4,1199488.0,50464
5,1199488.0,9136
6,1199488.0,13424
7,1199488.0,13776
8,1199488.0,25984
9,1199488.0,48864
10,1199488.0,37840
11,1199488.0,67216
12,1199488.0,57248
13,1199488.0,65280
14,1199488.0,30592
15,1199488.0,38192
0,1199488.0,38224
1,1199488.0,19200
2,1199488.0,48112
3,1199488.0,30240
4,1199488.0,14544
5,1199488.0,39664
6,1199488.0,25984
7,1199488.0,25632
8,1199488.0,13424
9,1199488.0,14096
10,1199488.0,25632
11,1199488.0,59968
12,1199488.0,33552
13,1199488.0,23696
14,1199488.0,43152
15,1199488.0,13776
0,1199488.0,49712
1,1199488.0,19552
2,1199488.0,35904
3,1199488.0,60320
4,1199488.0,49744
5,1199488.0,6976
6,1199488.0,13424
7,1199488.0,13776
8,1199488.0,25984
9,1199488.0,53824
10,1199488.0,25632
11,1199488.0,72176
12,1199488.0,57968
13,1199488.0,59968
14,1199488.0,11136
15,1199488.0,37488
0,1199488.0,43968
1,1199488.0,19200
2,1199488.0,42448
3,1199488.0,35552
4,1199488.0,15616
5,1199488.0,31376
6,1199488.0,26336
7,1199488.0,25632
8,1199488.0,13424
9,1199488.0,19776
10,1199488.0,25632
11,1199488.0,61760
12,1199488.0,34624
13,1199488.0,48112
14,1199488.0,53072
15,1199488.0,13776
0,1199488.0,45040
1,1199488.0,19200
2,1199488.0,35904
3,1199488.0,60320
4,1199488.0,49744
5,1199488.0,1216
6,1199488.0,1216
7,1199488.0,13424
8,1199488.0,26336
9,1199488.0,48496
10,1199488.0,25984
11,1199488.0,80096
12,1199488.0,58688
13,1199488.0,42448
14,1199488.0,6528
15,1199488.0,25632
0,1199488.0,32112
1,1199488.0,19552
2,1199488.0,47760
3,1199488.0,30592
4,1199488.0,17056
5,1199488.0,25984
6,1199488.0,38192
7,1199488.0,25632
8,1199488.0,1216
9,1199488.0,19776
10,1199488.0,13424
11,1199488.0,61488
12,1199488.0,47200
13,1199488.0,53072
14,1199488.0,43152
15,1199488.0,13424
0,1199488.0,57968
1,1199488.0,18480
2,1199488.0,30240
3,1199488.0,59968
4,1199488.0,50464
5,1199488.0,1568
6,1199488.0,13776
7,1199488.0,13776
8,1199488.0,38192
9,1199488.0,47424
10,1199488.0,25984
11,1199488.0,76928
12,1199488.0,44320
13,1199488.0,35552
14,1199488.0,13424
15,1199488.0,25632
0,1199488.0,20624
1,1199488.0,20272
2,1199488.0,59968
3,1199488.0,35552
4,1199488.0,18496
5,1199488.0,25984
6,1199488.0,37488
7,1199488.0,1216
8,1199488.0,1216
9,1199488.0,20848
10,1199488.0,25984
11,1199488.0,45040
12,1199488.0,47920
13,1199488.0,72528
14,1199488.0,38192
15,1199488.0,13424
0,1199488.0,46832
1,1199488.0,18832
2,1199488.0,35552
3,1199488.0,72528
4,1199488.0,50464
5,1199488.0,13776
6,1199488.0,13776
7,1199488.0,13776
8,1199488.0,38192
9,1199488.0,48864
10,1199488.0,13424
11,1199488.0,72688
12,1199488.0,45040
13,1199488.0,18384
14,1199488.0,13424
15,1199488.0,25632
0,1199488.0,21344
1,1199488.0,19200
2,1199488.0,42448
3,1199488.0,30240
4,1199488.0,20288
5,1199488.0,25632
6,1199488.0,37840
7,1199488.0,1568
8,1199488.0,1568
9,1199488.0,45984
10,1199488.0,25984
11,1199488.0,70176
12,1199488.0,44320
13,1199488.0,77840
14,1199488.0,38544
15,1199488.0,13776
0,1199488.0,47200
1,1199488.0,19552
2,1199488.0,55008
3,1199488.0,72176
4,1199488.0,49744
5,1199488.0,13776
6,1199488.0,13776
7,1199488.0,13776
8,1199488.0,38192
9,1199488.0,37440
10,1199488.0,25632
11,1199488.0,45040
12,1199488.0,45760
13,1199488.0,6176
14,1199488.0,1216
15,1199488.0,13424
0,1199488.0,47552
1,1199488.0,19552
2,1199488.0,35552
3,1199488.0,23344
4,1199488.0,21728
5,1199488.0,25632
6,1199488.0,37840
7,1199488.0,1568
8,1199488.0,13776
9,1199488.0,25584
10,1199488.0,25984
11,1199488.0,56528
12,1199488.0,32832
13,1199488.0,72528
14,1199488.0,43152
15,1199488.0,25984
0,1199488.0,32832
1,1199488.0,19200
2,1199488.0,35552
3,1199488.0,66864
4,1199488.0,49744
5,1199488.0,26336
6,1199488.0,38544
7,1199488.0,14128
8,1199488.0,37840
9,1199488.0,43472
10,1199488.0,42800
11,1199488.0,56896
12,1199488.0,46832
13,1199488.0,23344
14,1199488.0,11488
15,1199488.0,13424
0,1199488.0,48272
1,1199488.0,19552
2,1199488.0,30592
3,1199488.0,47760
4,1199488.0,23168
5,1199488.0,13072
6,1199488.0,13072
7,1199488.0,1568
8,1199488.0,18736
9,1199488.0,31264
10,1199488.0,30592
11,1199488.0,68736
12,1199488.0,45760
13,1199488.0,77488
14,1199488.0,53072
15,1199488.0,25984
0,1199488.0,32480
1,1199488.0,19552
2,1199488.0,35904
3,1199488.0,47760
4,1199488.0,49744
5,1199488.0,25984
6,1199488.0,38192
7,1199488.0,14128
8,1199488.0,42800
9,1199488.0,39232
10,1199488.0,35552
11,1199488.0,56528
12,1199488.0,20624
13,1199488.0,11136
14,1199488.0,40864
15,1199488.0,13424
0,1199488.0,48640
1,1199488.0,19200
2,1199488.0,23344
3,1199488.0,47760
4,1199488.0,23536
5,1199488.0,13072
6,1199488.0,13424
7,1199488.0,14128
8,1199488.0,48112
9,1199488.0,56400
10,1199488.0,42800
11,1199488.0,44688
12,1199488.0,46480
13,1199488.0,77840
14,1199488.0,23344
15,1199488.0,26336
0,1199488.0,33552
1,1199488.0,19552
2,1199488.0,35904
3,1199488.0,42800
4,1199488.0,50464
5,1199488.0,25984
6,1199488.0,38192
7,1199488.0,13072
8,1199488.0,22992
9,1199488.0,25232
10,1199488.0,30240
