ONT_Id,B_Max_bits,B_alloc_bits
14,1199488.0,69408
15,1199488.0,88288
0,1199488.0,62256
1,1199488.0,77136
2,1199488.0,22784
3,1199488.0,41472
4,1199488.0,47760
5,1199488.0,67600
6,1199488.0,91248
7,1199488.0,62256
8,1199488.0,82448
9,1199488.0,90736
10,1199488.0,37840
11,1199488.0,20624
12,1199488.0,55680
13,1199488.0,61904
14,1199488.0,62528
15,1199488.0,56752
0,1199488.0,25984
1,1199488.0,52720
2,1199488.0,34272
3,1199488.0,58352
4,1199488.0,69888
5,1199488.0,33264
6,1199488.0,60368
7,1199488.0,25632
8,1199488.0,71824
9,1199488.0,44544
10,1199488.0,25632
11,1199488.0,57968
12,1199488.0,42752
13,1199488.0,50048
14,1199488.0,75808
15,1199488.0,61488
0,1199488.0,37840
1,1199488.0,52720
2,1199488.0,23504
3,1199488.0,43264
4,1199488.0,58032
5,1199488.0,62992
6,1199488.0,91968
7,1199488.0,62256
8,1199488.0,94304
9,1199488.0,122624
10,1199488.0,25632
11,1199488.0,45760
12,1199488.0,56400
13,1199488.0,62256
14,1199488.0,59360
15,1199488.0,45264
0,1199488.0,25984
1,1199488.0,47760
2,1199488.0,34992
3,1199488.0,71280
4,1199488.0,47760
5,1199488.0,26016
6,1199488.0,32784
7,1199488.0,38192
8,1199488.0,52720
9,1199488.0,29824
10,1199488.0,25632
11,1199488.0,45040
12,1199488.0,50720
13,1199488.0,50048
14,1199488.0,65040
15,1199488.0,79024
0,1199488.0,50048
1,1199488.0,64928
2,1199488.0,36784
3,1199488.0,38592
4,1199488.0,70240
5,1199488.0,67952
6,1199488.0,91616
7,1199488.0,50048
8,1199488.0,96240
9,1199488.0,111264
10,1199488.0,37840
11,1199488.0,46480
12,1199488.0,45040
13,1199488.0,37840
14,1199488.0,65760
15,1199488.0,49280
0,1199488.0,38192
1,1199488.0,45472
2,1199488.0,47920
3,1199488.0,72368
4,1199488.0,40512
5,1199488.0,26016
6,1199488.0,39184
7,1199488.0,50048
8,1199488.0,69888
9,1199488.0,41184
10,1199488.0,13424
11,1199488.0,57968
12,1199488.0,32480
13,1199488.0,62608
14,1199488.0,79040
15,1199488.0,73696
0,1199488.0,37840
1,1199488.0,52720
2,1199488.0,32832
3,1199488.0,27824
4,1199488.0,82096
5,1199488.0,67600
6,1199488.0,90176
7,1199488.0,50048
8,1199488.0,94304
9,1199488.0,95824
10,1199488.0,37840
11,1199488.0,59408
12,1199488.0,45760
13,1199488.0,13424
14,1199488.0,43920
15,1199488.0,66816
0,1199488.0,38192
1,1199488.0,30944
2,1199488.0,32832
3,1199488.0,74160
4,1199488.0,40512
5,1199488.0,43184
6,1199488.0,39952
7,1199488.0,37840
8,1199488.0,59616
9,1199488.0,37296
10,1199488.0,25984
11,1199488.0,58688
12,1199488.0,33552
13,1199488.0,74464
14,1199488.0,67552
15,1199488.0,49280
0,1199488.0,25632
1,1199488.0,47760
2,1199488.0,32832
3,1199488.0,41472
4,1199488.0,82096
5,1199488.0,45472
6,1199488.0,78656
7,1199488.0,50048
8,1199488.0,113760
9,1199488.0,96544
10,1199488.0,13424
11,1199488.0,72336
12,1199488.0,46480
13,1199488.0,49696
14,1199488.0,44992
15,1199488.0,62928
0,1199488.0,38192
1,1199488.0,35552
2,1199488.0,45040
3,1199488.0,62288
4,1199488.0,35552
5,1199488.0,43184
6,1199488.0,36720
7,1199488.0,37840
8,1199488.0,52720
9,1199488.0,55184
10,1199488.0,25984
11,1199488.0,57248
12,1199488.0,34272
13,1199488.0,50048
14,1199488.0,67200
15,1199488.0,42400
0,1199488.0,37840
1,1199488.0,48112
2,1199488.0,46112
3,1199488.0,44320
4,1199488.0,82448
5,1199488.0,50432
6,1199488.0,62208
7,1199488.0,50048
8,1199488.0,91280
9,1199488.0,90512
10,1199488.0,25632
11,1199488.0,68736
12,1199488.0,47552
13,1199488.0,50048
14,1199488.0,63600
15,1199488.0,67888
0,1199488.0,62256
1,1199488.0,11136
2,1199488.0,32112
3,1199488.0,44688
4,1199488.0,33264
5,1199488.0,43184
6,1199488.0,37792
7,1199488.0,38192
8,1199488.0,79424
9,1199488.0,92176
10,1199488.0,25984
11,1199488.0,56176
12,1199488.0,47200
13,1199488.0,49696
14,1199488.0,55760
15,1199488.0,38512
0,1199488.0,25632
1,1199488.0,53072
2,1199488.0,46480
3,1199488.0,33552
4,1199488.0,72176
5,1199488.0,45472
6,1199488.0,54608
7,1199488.0,37840
