ONT_Id,B_Max_bits,B_alloc_bits
1,1199488.0,40736
2,1199488.0,11776
3,1199488.0,23696
4,1199488.0,19552
5,1199488.0,22784
6,1199488.0,13776
7,1199488.0,19552
8,1199488.0,13424
9,1199488.0,13424
10,1199488.0,1568
11,1199488.0,23696
12,1199488.0,13424
13,1199488.0,13776
14,1199488.0,13424
15,1199488.0,13776
0,1199488.0,23344
1,1199488.0,22784
2,1199488.0,11776
3,1199488.0,28304
4,1199488.0,19200
5,1199488.0,22064
6,1199488.0,13424
7,1199488.0,19200
8,1199488.0,1568
9,1199488.0,13776
10,1199488.0,13776
11,1199488.0,23696
12,1199488.0,26336
13,1199488.0,13424
14,1199488.0,26336
15,1199488.0,1568
0,1199488.0,23696
1,1199488.0,32112
2,1199488.0,12128
3,1199488.0,23344
4,1199488.0,19200
5,1199488.0,23136
6,1199488.0,13776
7,1199488.0,18832
8,1199488.0,1920
9,1199488.0,13424
10,1199488.0,13424
11,1199488.0,40864
12,1199488.0,1216
13,1199488.0,13776
14,1199488.0,13424
15,1199488.0,13776
0,1199488.0,23344
1,1199488.0,23504
2,1199488.0,12480
3,1199488.0,23696
4,1199488.0,19552
5,1199488.0,22784
6,1199488.0,13424
7,1199488.0,19200
8,1199488.0,2272
9,1199488.0,14128
10,1199488.0,14128
11,1199488.0,18384
12,1199488.0,25984
13,1199488.0,13424
14,1199488.0,25632
15,1199488.0,1568
0,1199488.0,23696
1,1199488.0,20624
2,1199488.0,12480
3,1199488.0,23344
4,1199488.0,18480
5,1199488.0,23856
6,1199488.0,13776
7,1199488.0,19200
8,1199488.0,2272
9,1199488.0,1216
10,1199488.0,1216
11,1199488.0,35904
12,1199488.0,1216
13,1199488.0,13776
14,1199488.0,13776
15,1199488.0,14128
0,1199488.0,23696
1,1199488.0,23856
2,1199488.0,12832
3,1199488.0,28656
4,1199488.0,19552
5,1199488.0,23136
6,1199488.0,13776
7,1199488.0,19552
8,1199488.0,2624
9,1199488.0,13776
10,1199488.0,13776
11,1199488.0,23344
12,1199488.0,25984
13,1199488.0,13424
14,1199488.0,13424
15,1199488.0,1216
0,1199488.0,23344
1,1199488.0,20624
2,1199488.0,12832
3,1199488.0,23344
4,1199488.0,19552
5,1199488.0,23504
6,1199488.0,13424
7,1199488.0,30688
8,1199488.0,2624
9,1199488.0,1216
10,1199488.0,1216
11,1199488.0,41216
12,1199488.0,1568
13,1199488.0,14128
14,1199488.0,13776
15,1199488.0,13776
0,1199488.0,23696
1,1199488.0,24576
2,1199488.0,13184
3,1199488.0,23696
4,1199488.0,19200
5,1199488.0,23856
6,1199488.0,13776
7,1199488.0,13088
8,1199488.0,2976
9,1199488.0,13776
10,1199488.0,13776
11,1199488.0,6176
12,1199488.0,25984
13,1199488.0,1216
14,1199488.0,25280
15,1199488.0,1216
0,1199488.0,23696
1,1199488.0,21344
2,1199488.0,13184
3,1199488.0,23696
4,1199488.0,18832
5,1199488.0,24224
6,1199488.0,13424
7,1199488.0,31760
8,1199488.0,3328
9,1199488.0,1568
10,1199488.0,1568
11,1199488.0,35904
12,1199488.0,1568
13,1199488.0,13776
14,1199488.0,13776
15,1199488.0,13776
0,1199488.0,23696
1,1199488.0,24576
