ONT_Id,B_Max_bits,B_alloc_bits
9,119488.0,4432
10,119488.0,3328
11,119488.0,7936
12,119488.0,4416
13,119488.0,1920
14,119488.0,3008
15,119488.0,18064
0,119488.0,4032
1,119488.0,4384
2,119488.0,2624
3,119488.0,10016
4,119488.0,25456
5,119488.0,18384
6,119488.0,26256
7,119488.0,12928
8,119488.0,5440
9,119488.0,4784
10,119488.0,3328
11,119488.0,7936
12,119488.0,5488
13,119488.0,2272
14,119488.0,3712
15,119488.0,20176
0,119488.0,4384
1,119488.0,4736
2,119488.0,7936
3,119488.0,10368
4,119488.0,13072
5,119488.0,6880
6,119488.0,26352
7,119488.0,18240
8,119488.0,5792
9,119488.0,5856
10,119488.0,3680
11,119488.0,13248
12,119488.0,18416
13,119488.0,2624
14,119488.0,16992
15,119488.0,14144
0,119488.0,4736
1,119488.0,5088
2,119488.0,8288
3,119488.0,10720
4,119488.0,38192
5,119488.0,6880
6,119488.0,3360
7,119488.0,12912
8,119488.0,18352
9,119488.0,6928
10,119488.0,4032
11,119488.0,13248
12,119488.0,7968
13,119488.0,2624
14,119488.0,7248
15,119488.0,3360
0,119488.0,5088
1,119488.0,5440
2,119488.0,20848
3,119488.0,11072
4,119488.0,1920
5,119488.0,2976
6,119488.0,4064
7,119488.0,13264
8,119488.0,13424
9,119488.0,7632
10,119488.0,16592
11,119488.0,13248
12,119488.0,8672
13,119488.0,15536
14,119488.0,8320
15,119488.0,16640
0,119488.0,5440
1,119488.0,18000
2,119488.0,1568
3,119488.0,11424
4,119488.0,1920
5,119488.0,2976
6,119488.0,4784
7,119488.0,36960
8,119488.0,1920
9,119488.0,8704
10,119488.0,1568
11,119488.0,8992
12,119488.0,9744
13,119488.0,13776
14,119488.0,8672
15,119488.0,14144
0,119488.0,18000
1,119488.0,1920
2,119488.0,1920
3,119488.0,11776
4,119488.0,2272
5,119488.0,3328
6,119488.0,5856
7,119488.0,13776
8,119488.0,2272
9,119488.0,9408
10,119488.0,1920
11,119488.0,9344
12,119488.0,23024
13,119488.0,1568
14,119488.0,9744
15,119488.0,3360
0,119488.0,1568
1,119488.0,14480
2,119488.0,2272
3,119488.0,12128
4,119488.0,12544
5,119488.0,3680
6,119488.0,6560
7,119488.0,1920
8,119488.0,2272
9,119488.0,10128
10,119488.0,2272
11,119488.0,26864
12,119488.0,2288
13,119488.0,1920
14,119488.0,6208
15,119488.0,4080
0,119488.0,25984
1,119488.0,1568
2,119488.0,7584
3,119488.0,12480
4,119488.0,25104
5,119488.0,8992
6,119488.0,7632
7,119488.0,14480
8,119488.0,2624
9,119488.0,11200
10,119488.0,2272
11,119488.0,6528
12,119488.0,3360
13,119488.0,14480
14,119488.0,7280
15,119488.0,21952
0,119488.0,1568
1,119488.0,1920
2,119488.0,19792
3,119488.0,12480
4,119488.0,1568
