ONT_Id,B_Max_bits,B_alloc_bits
11,119488.0,5856
12,119488.0,1920
13,119488.0,13248
14,119488.0,6880
15,119488.0,14816
0,119488.0,4432
1,119488.0,13424
2,119488.0,18768
3,119488.0,10816
4,119488.0,1920
5,119488.0,2272
6,119488.0,7936
7,119488.0,10752
8,119488.0,1216
9,119488.0,8992
10,119488.0,11104
11,119488.0,11520
12,119488.0,2272
13,119488.0,8992
14,119488.0,7232
15,119488.0,14448
0,119488.0,17712
1,119488.0,1568
2,119488.0,2288
3,119488.0,11888
4,119488.0,2272
5,119488.0,2624
6,119488.0,8288
7,119488.0,11104
8,119488.0,1568
9,119488.0,8992
10,119488.0,11104
11,119488.0,12240
12,119488.0,2624
13,119488.0,9344
14,119488.0,15184
15,119488.0,13728
0,119488.0,3008
1,119488.0,14128
2,119488.0,3008
3,119488.0,24448
4,119488.0,2272
5,119488.0,2976
6,119488.0,4032
7,119488.0,11456
8,119488.0,1920
9,119488.0,9344
10,119488.0,28624
11,119488.0,37728
12,119488.0,7584
13,119488.0,14304
14,119488.0,13776
15,119488.0,26656
0,119488.0,4080
1,119488.0,13424
2,119488.0,15920
3,119488.0,3008
4,119488.0,2624
5,119488.0,2976
6,119488.0,28448
7,119488.0,28624
8,119488.0,2272
9,119488.0,9696
10,119488.0,18736
11,119488.0,14144
12,119488.0,7936
13,119488.0,15360
14,119488.0,1920
15,119488.0,4448
0,119488.0,4784
1,119488.0,1920
2,119488.0,2288
3,119488.0,4080
4,119488.0,15184
5,119488.0,3680
6,119488.0,6880
7,119488.0,1920
8,119488.0,2624
9,119488.0,15008
10,119488.0,1920
11,119488.0,3712
12,119488.0,8640
13,119488.0,13248
14,119488.0,7232
15,119488.0,6240
0,119488.0,5856
1,119488.0,2272
2,119488.0,3360
3,119488.0,9744
4,119488.0,1568
5,119488.0,3680
6,119488.0,7232
7,119488.0,2272
8,119488.0,2976
9,119488.0,10752
10,119488.0,2272
11,119488.0,4432
12,119488.0,8640
13,119488.0,25104
14,119488.0,32000
15,119488.0,19872
0,119488.0,6560
1,119488.0,2624
2,119488.0,4432
3,119488.0,23024
4,119488.0,1920
5,119488.0,4032
6,119488.0,7232
7,119488.0,2272
8,119488.0,2976
9,119488.0,10752
10,119488.0,2624
11,119488.0,5136
12,119488.0,8992
13,119488.0,6528
14,119488.0,13424
15,119488.0,4800
0,119488.0,19840
1,119488.0,2976
2,119488.0,5136
3,119488.0,3008
4,119488.0,2272
5,119488.0,4384
6,119488.0,8304
7,119488.0,2624
8,119488.0,15536
9,119488.0,23664
10,119488.0,2976
11,119488.0,11168
12,119488.0,9344
13,119488.0,6880
14,119488.0,1568
15,119488.0,18448
0,119488.0,3360
1,119488.0,3328
2,119488.0,6208
3,119488.0,3712
4,119488.0,2624
5,119488.0,16944
6,119488.0,16976
7,119488.0,2976
8,119488.0,1568
9,119488.0,25632
10,119488.0,3328
11,119488.0,12240
12,119488.0,9696
13,119488.0,7232
14,119488.0,1920
15,119488.0,4448
0,119488.0,4080
