ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.5375267157328055,0.5375246994032271,0.5375287320623839
1,0,0.4972123884738322,0.497210646739644,0.4972141302080204
2,0,0.5514940530951957,0.5514918982201059,0.5514962079702855
3,0,0.5660513927618153,0.5660492633358258,0.5660535221878047
4,0,0.5717949433760472,0.5717929623131297,0.5717969244389647
5,0,0.48618844398529226,0.48618654469322486,0.48619034327735966
6,0,0.5735562661420969,0.5735544758264638,0.57355805645773
7,0,0.5338853520487767,0.5338833735948373,0.5338873305027162
8,0,0.5606909222245204,0.5606886819375839,0.560693162511457
9,0,0.580184991758138,0.580182935629026,0.58018704788725
10,0,0.5814151763841988,0.5814130780419786,0.581417274726419
11,0,0.5187809964123729,0.5187792043521304,0.5187827884726153
12,0,0.5453694371651143,0.5453675494834784,0.5453713248467502
13,0,0.5347640494447403,0.5347619207652652,0.5347661781242155
14,0,0.6091113378016493,0.6091091514762431,0.6091135241270554
15,0,0.5360795862333454,0.5360776190041182,0.5360815534625726
