ont_id,cola_tamano_total_bytes
0,9998828.0
1,9998538.0
2,9999108.0
3,9995376.0
4,9995112.0
5,9988682.0
6,9990708.0
7,9993956.0
8,9988496.0
9,9988912.0
10,9987640.0
11,9999960.0
12,9998332.0
13,9999964.0
14,9999048.0
15,10000000.0
media,9995166.25
